id,gender,age,grade,math,reading,science,minutes_math,minutes_reading,minutes_science
84000250,Male,16,11,513,544,519,0,55,55
84000304,Female,16,11,427,432,418,275,275,0
84000353,Male,15,9,450,504,449,275,275,275
84000536,Male,15,10,475,438,472,550,275,0
84001240,Male,15,10,469,536,515,275,275,275
84001624,Male,15,10,443,449,495,55,110,55
84001714,Female,16,10,426,488,409,55,55,55
84001950,Female,16,11,450,529,509,250,250,250
84002531,Female,16,11,494,623,570,0,275,275
84002584,Male,16,10,342,282,322,275,550,275
84002831,Female,16,10,405,443,425,250,250,250
84002916,Female,16,10,402,419,410, , , 
84002931,Male,16,10,413,373,420,55,55,110
84003259,Male,16,10,544,629,607,250,250,500
84003351,Male,16,10,645,684,693,275,275,275
84003452,Male,16,10,462,504,479,275,275,275
84003883,Male,16,10,503,468,522,250,250,250
84003965,Female,15,10,586,618,610,250,250,500
84003985,Female,16,10,614,681,698,275,275,550
84004633,Male,16,10,565,636,577,250,250,250
84005420,Female,16,10,523,569,568,275,275,275
84006420,Female,16,10,368,384,410,50,50,50
84006716,Female,15,10,373,401,432,250,250,250
84007236,Male,16,10,701,719,687,250,250,250
84007677,Female,16,11,434,451,461,250,500,250
84007979,Male,16,9,417,398,411, , , 
84008420,Male,16,10,565,578,617,250,250,250
84008604,Male,16,11,528,507,555,165,55,55
84000016,Female,16,10,384,417,399,600,600,600
84000166,Male,16,11,485,483,516,0,475,0
84000542,Male,16,9,405,356,416,0,0,0
84000611,Female,16,10,331,295,310,480,480,480
84000777,Female,16,9,383,392,427, , , 
84000809,Female,16,10,392,441,425,90,0,90
84000902,Female,15,9,377,431,387,600,0,600
84000932,Female,16,10,528,623,536,0,120,120
84001032,Male,16,10,453,515,504,90,90,90
84001081,Male,16,10,412,450,442, , , 
84001086,Male,16,11,550,594,559,90,90,0
84001200,Male,16,9,339,383,382,50,50,50
84001499,Female,16,10,499,541,506,575,0,575
84001622,Female,16,9,388,303,341,0,0,300
84002081,Female,16,11,363,419,414,0,0,325
84002481,Male,16,10,627,669,681,600,600,600
84002542,Male,16,9,379,404,384,0,0,0
84002627,Male,16,11,481,573,540,0,0,450
84002956,Female,16,11,338,330,402,475,475,475
84003206,Male,16,10,542,551,531,600,0,600
84003316,Male,16,9,344,352,333,600,2400,0
84003760,Female,16,10,455,470,484,0,0,450
84003784,Male,16,10,281,275,318, , , 
84003992,Female,16,10,321,339,334,120,120,0
84004183,Female,16,10,403,477,521,60,60,60
84005220,Female,16,9,340,368,391, , , 
84005537,Female,16,10,448,455,498,90,90,90
84005712,Female,16,9,476,544,490,90,90,90
84006424,Female,16,10,557,669,604,450,450,450
84006641,Male,16,10,272,251,265, , , 
84006698,Female,16,10,483,561,536,0,90,90
84007518,Male,16,10,393,362,453, , , 
84007665,Male,16,10,426,528,457,90,90,90
84007835,Male,16,11,459,442,480,600,600,600
84008003,Female,15,10,438,473,476,480,480,480
84008479,Male,16,9,358,341,319, , , 
84000060,Female,16,11,347,394,390,360,600,360
84000398,Male,16,11,507,573,509,360,360,360
84000889,Male,16,10,593,648,610,270,270,810
84000953,Female,16,10,391,419,366,270,270,270
84001075,Male,16,11,461,489,528,300,300,300
84001151,Female,16,10,483,541,494,285,285,285
84001314,Female,16,11,395,448,427,285,285,285
84002003,Female,16,10,547,600,556,210,210,210
84002031,Female,16,11,403,462,434,330,330,330
84002221,Female,16,10,355,455,420,360,360,360
84002729,Male,16,10,433,463,438,360,360,360
84002800,Female,16,10,413,476,441,180,180,180
84003180,Female,16,10,252,300,288,120,120,60
84003239,Male,16,10,420,458,449,270,270,270
84004065,Female,16,9,265,344,305,135,135,135
84004089,Female,16,10,457,550,489,285,285,285
84004241,Male,16,10,411,435,405,270,270,270
84004289,Female,16,11,303,223,295,240,240,240
84004545,Male,15,10,506,552,547,270,270,270
84004763,Female,16,10,458,477,422,270,270,270
84005177,Male,16,10,303,265,310, , , 
84005291,Female,16,11,322,363,365,90,150,90
84005817,Female,15,10,440,436,406,120,120,120
84005937,Male,16,9,296,309,287,0,360,360
84005997,Female,16,11,435,427,404,360,360,360
84006361,Female,16,10,469,549,469,270,270,270
84006606,Female,16,9,310,253,299, , , 
84007082,Male,16,11,417,412,487,0,360,360
84007655,Male,16,9,359,322,336, , , 
84007660,Male,16,10,391,434,433,180,180,180
84007662,Male,15,10,341,297,333, , , 
84007713,Male,16,10,480,530,519,270,270,270
84007782,Female,15,10,417,471,512,285,285,285
84007819,Female,16,10,343,414,375,115,230,115
84007877,Female,15,10,386,474,376,85,170,85
84000416,Female,16,10,480,502,504,250,250,250
84000511,Male,16,10,351,423,422,275,275,275
84001030,Female,16,11,419,548,481,60,60,120
84001054,Male,16,10,507,580,548,300,300,300
